Label;WGL-contributor;DNB-Link
AIP - Leibniz-Institut für Astrophysik, Potsdam (Sektion D);AIP ;http://d-nb.info/gnd/1032734787
ARL - ARL – Akademie für Raumentwicklung in der Leibniz-Gemeinschaft, Hannover (Sektion B);ARL ;http://d-nb.info/gnd/37457-X
ATB - Leibniz-Institut für Agrartechnik und Bioökonomie, Potsdam (Sektion E);ATB ;http://d-nb.info/gnd/1119361486
BIPS - Leibniz-Institut für Präventionsforschung und Epidemiologie, Bremen (Sektion C);BIPS ;http://d-nb.info/gnd/1043624465
BNITM - Bernhard-Nocht-Institut für Tropenmedizin, Hamburg (Sektion C);BNITM ;http://d-nb.info/gnd/5279549-4
DBM - Deutsches Bergbau-Museum Bochum – Leibniz-Forschungsmuseum für Georessourcen, Bochum (Sektion A);DBM ;http://d-nb.info/gnd/1042348-5
DDZ - Deutsches Diabetes-Zentrum - Leibniz-Zentrum für Diabetes-Forschung an der Heinrich-Heine-Universität Düsseldorf, Düsseldorf (Sektion C);DDZ ;http://d-nb.info/gnd/16332572-8
DFA - Deutsche Forschungsanstalt für Lebensmittelchemie, Freising (2010-2017);DFA ;http://d-nb.info/gnd/16155791-0
DI - Leibniz-Institut für jüdische Geschichte und Kultur – Simon Dubnow, Leipzig (Sektion A);DI ;http://d-nb.info/gnd/1173298126
DIE - Deutsches Institut für Erwachsenenbildung - Leibniz-Zentrum für Lebenslanges Lernen, Bonn (Sektion A);DIE ;http://d-nb.info/gnd/16176906-8
DIfE - Deutsches Institut für Ernährungsforschung Potsdam-Rehbrücke, Nuthetal (Sektion C);DIfE ;http://d-nb.info/gnd/5118980-X
DIPF - DIPF | Leibniz-Institut für Bildungsforschung und Bildungsinformation, Frankfurt am Main, Berlin (Sektion A);DIPF ;http://d-nb.info/gnd/117117618X
DIW - DIW Berlin - Deutsches Institut für Wirtschaftsforschung, Berlin (Sektion B);DIW ;http://d-nb.info/gnd/37419-2
DM - Deutsches Museum, München (Sektion A);DM ;http://d-nb.info/gnd/1007827-7
DPZ - Deutsches Primatenzentrum - Leibniz-Institut für Primatenforschung, Göttingen (Sektion C);DPZ ;http://d-nb.info/gnd/3002218-6
DRFZ - Deutsches Rheuma-Forschungszentrum, Berlin (Sektion C);DRFZ ;http://d-nb.info/gnd/5305173-7
DSM - Deutsches Schifffahrtsmuseum - Leibniz-Institut für Maritime Geschichte, Bremerhaven (Sektion A);DSM ;http://d-nb.info/gnd/2008892-9
DSMZ - Leibniz-Institut DSMZ-Deutsche Sammlung von Mikroorganismen und Zellkulturen GmbH, Braunschweig (Sektion C);DSMZ ;http://d-nb.info/gnd/1035759209
DWI - DWI - Leibniz-Institut für Interaktive Materialien, Aachen (Sektion D);DWI ;http://d-nb.info/gnd/1052225616
FBH - Ferdinand-Braun-Institut, Leibniz-Institut für Höchstfrequenztechnik, Berlin (Sektion D);FBH ;http://d-nb.info/gnd/16089664-2
FBN - Leibniz-Institut für Nutztierbiologie, Dummerstorf (2009-2020);FBN ;http://d-nb.info/gnd/16072459-4
FCH - Fachinformationszentrum Chemie, Berlin (1981-2013);FCH ;http://d-nb.info/gnd/5029783-1
FIZ KA - FIZ Karlsruhe – Leibniz-Institut für Informationsinfrastruktur, Karlsruhe (Sektion D);FIZ KA ;http://d-nb.info/gnd/16099228-X
FLI - Leibniz-Institut für Alternsforschung - Fritz-Lipmann-Institut, Jena (Sektion C);FLI ;http://d-nb.info/gnd/1124471707
FMP - Leibniz-Forschungsinstitut für Molekulare Pharmakologie, Berlin (Sektion C);FMP ;http://d-nb.info/gnd/1150314389
FÖV - Deutsches Forschungsinstitut für öffentliche Verwaltung, Speyer (2005-2015);FÖV ;http://d-nb.info/gnd/10135462-9
FZB - Forschungszentrum Borstel, Leibniz Lungenzentrum, Borstel (Sektion C);FZB ;http://d-nb.info/gnd/5174043-6
GEI - Leibniz-Institut für Bildungsmedien | Georg-Eckert-Institut, Braunschweig (Sektion A);GEI ;http://d-nb.info/gnd/1044056-2
